ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
1511798401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511798701,49,7,14,0,27,0,20,14,9,0,0,66,0,0,0,14,14,0,0,7,21,0,21,0,0,14,28,0,0,7,0,7,70,0,21,7,49,0,14,35,21,14,0,21,19,0,7,28,7,0,14,0,0,14,0,0,7,0,0,0,0,49,0,0,21,7,0,13,35,0,0,0,14,14,0,23,7,21,7,0,7,0,2,0,0,7,7,0,0,0,25,0,0,28,0,7,0,0,0,14,0,21,68,0,31,0,63,0,53,70,31,0,7,9,42,7,0,0,7,7,7,0,42,0,0,0,0,0,21,7,0,0,21,7,0,7,0,21,14,0,7,13,0,0,7,0,0,7
1511799001,70,14,21,7,68,7,30,21,16,0,0,94,21,0,0,28,28,6,7,16,35,0,49,7,0,30,35,7,0,14,0,7,77,0,21,14,56,0,28,42,28,14,7,37,40,7,7,77,27,0,21,7,0,21,7,0,7,0,0,0,0,90,14,0,23,14,3,27,73,7,0,7,14,14,0,23,7,56,35,0,24,0,18,7,0,7,14,7,0,0,73,0,0,42,0,7,0,7,21,21,1,21,122,0,80,0,70,0,67,133,58,0,15,72,49,28,19,0,7,14,28,0,58,0,0,0,2,7,28,7,0,0,44,7,0,7,0,35,21,0,35,20,0,0,7,0,0,7
1511799301,92,14,42,14,162,13,58,28,77,31,7,98,28,0,0,35,78,6,15,16,35,0,68,7,0,55,42,7,20,14,0,11,239,0,21,14,56,0,39,50,36,19,7,48,83,14,7,97,41,7,21,28,0,35,14,7,7,0,0,0,7,135,21,0,23,21,14,27,73,7,14,21,14,14,0,51,7,77,73,0,37,0,47,7,0,7,28,22,7,0,94,0,19,63,0,21,0,14,28,21,1,35,157,13,133,7,140,0,86,162,80,0,22,103,77,42,19,0,14,21,48,0,67,0,0,0,24,14,28,7,0,0,59,7,14,7,0,35,35,0,62,20,0,21,7,0,0,7
1511799601,113,14,56,27,176,13,66,42,89,31,90,98,41,0,0,75,85,6,54,23,35,0,73,7,0,55,70,7,55,28,0,11,289,0,35,21,56,0,40,69,36,24,7,48,126,14,7,97,41,7,21,28,0,35,14,7,7,1,0,0,7,156,28,31,23,21,14,27,87,7,21,21,14,14,0,64,7,91,94,1,44,49,122,14,1,7,28,22,7,0,166,7,19,84,0,21,0,14,28,21,1,49,222,27,167,7,203,0,93,211,107,0,22,123,84,42,19,0,26,73,48,0,67,0,0,0,58,21,35,7,0,48,92,14,14,21,0,104,56,0,69,27,0,35,38,0,0,7
1511799901,126,18,69,34,191,13,76,49,115,31,132,119,41,33,35,82,85,13,54,37,41,0,80,7,0,55,70,7,56,35,7,11,358,7,35,21,56,0,40,69,50,25,7,49,164,14,7,116,41,7,21,35,0,35,20,7,7,1,0,49,7,169,35,31,28,28,14,34,101,7,21,40,14,14,0,77,7,91,101,8,44,49,168,14,8,7,28,22,7,0,219,7,19,84,0,21,0,14,28,21,8,49,278,27,257,7,245,0,100,211,142,0,35,123,98,63,19,0,33,87,48,7,67,0,0,0,79,28,42,19,0,48,93,14,14,28,0,113,56,0,75,34,14,49,56,0,0,7
1511800201,126,18,90,76,207,20,158,49,118,102,160,126,41,33,35,131,88,13,68,44,44,0,94,10,0,55,70,7,56,42,14,11,392,7,35,21,56,0,43,69,50,32,7,49,171,14,7,137,48,7,21,35,0,42,36,7,10,1,0,49,7,186,35,31,37,28,14,34,101,7,21,40,14,14,0,98,7,102,101,15,44,58,175,21,22,7,28,22,7,0,250,21,19,84,7,28,0,14,28,25,22,49,285,27,431,7,252,0,121,225,156,0,35,132,98,79,19,0,33,87,48,7,79,0,0,0,86,35,49,26,0,62,156,14,28,35,14,157,63,0,83,34,14,49,89,0,0,7
1511800501,140,18,104,76,300,27,158,56,136,116,170,126,48,92,66,138,95,13,108,58,44,0,101,10,7,83,77,7,56,42,14,11,444,7,35,21,56,0,57,76,50,39,7,49,194,18,7,147,48,7,21,35,0,42,43,7,10,1,0,49,14,195,35,31,51,28,21,34,115,7,21,40,17,14,0,105,7,108,101,15,44,58,218,21,36,7,28,22,17,0,320,35,60,84,7,28,0,14,28,25,29,49,320,30,479,7,318,0,142,236,227,0,76,139,104,86,19,0,33,108,48,7,79,0,0,0,93,46,49,26,0,83,163,14,28,63,14,163,70,0,83,34,28,70,89,0,0,7
1511800801,218,18,198,76,353,27,158,56,150,116,191,126,48,92,66,149,99,13,108,62,58,0,101,10,7,83,77,7,56,42,14,11,530,14,42,21,63,0,63,76,57,53,7,49,287,18,7,147,48,14,21,35,0,42,50,7,10,1,0,49,14,209,35,38,79,42,21,34,115,7,21,40,17,35,0,105,14,115,101,22,44,58,251,28,43,7,28,22,17,0,332,49,60,84,7,28,7,14,28,25,29,49,327,30,529,7,325,0,142,236,279,0,76,146,111,86,19,0,33,115,48,7,93,0,0,0,93,53,63,26,0,97,170,14,35,84,14,163,70,0,90,34,28,77,89,0,0,14
