ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
1515340801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1515341101,41,0,14,0,20,0,7,0,7,0,7,0,0,0,7,21,0,7,7,6,7,0,7,0,0,0,7,0,0,7,28,0,735,0,28,0,0,0,14,21,7,6,0,7,708,0,0,7,7,0,0,6,0,0,0,0,7,0,0,0,0,28,7,0,0,7,0,21,7,0,0,7,0,0,0,14,0,20,14,0,7,0,651,0,0,0,0,7,0,0,608,0,0,0,0,0,0,0,0,0,0,14,14,0,1197,0,0,0,42,56,1134,0,0,0,14,14,7,0,0,0,7,0,7,0,0,0,7,0,0,7,0,0,21,0,0,0,0,0,28,0,42,0,7,7,7,0,0,7
1515341401,62,7,35,0,79,7,7,0,37,0,21,17,0,0,7,48,33,7,7,9,7,0,28,0,0,0,7,0,0,7,28,0,798,6,28,0,0,0,49,28,14,12,0,14,783,0,0,14,48,0,0,6,7,0,0,0,7,0,0,7,0,48,28,0,14,7,0,21,21,7,7,7,0,0,0,21,14,27,28,7,14,0,735,7,0,0,0,21,0,0,682,0,0,14,0,0,7,0,0,0,0,27,42,0,1257,0,7,0,49,98,1202,0,0,0,49,28,7,0,14,0,7,0,7,7,0,0,21,0,7,7,7,0,21,0,7,28,0,14,56,0,91,0,7,21,7,0,0,7
1515341701,82,14,35,0,113,28,7,0,59,0,21,33,0,0,7,48,46,7,14,9,14,0,35,0,0,0,21,0,0,14,35,0,846,6,49,0,0,0,49,35,42,12,0,42,817,7,0,21,62,0,0,9,7,0,0,0,7,0,0,7,0,58,42,0,14,14,0,28,28,7,14,14,0,0,0,23,20,62,37,13,21,7,777,14,0,0,7,21,0,0,734,0,0,16,0,0,14,7,0,0,0,27,56,0,1289,0,14,0,70,133,1229,0,0,19,56,34,14,0,21,7,14,0,14,21,0,0,35,0,7,7,7,7,28,0,7,35,0,31,63,0,97,0,14,21,14,0,0,7
1515342001,103,14,35,0,148,28,25,0,59,0,21,37,0,14,7,54,57,13,14,23,14,0,42,0,0,0,35,0,0,28,35,0,867,6,49,0,0,0,56,49,49,12,0,59,844,14,0,28,80,0,0,18,7,7,0,0,7,0,0,7,0,72,58,0,21,15,0,28,35,7,14,15,0,0,0,36,31,69,37,20,21,28,818,14,7,0,14,21,0,0,747,0,0,16,0,0,14,7,0,0,0,27,77,0,1296,0,35,0,77,140,1242,0,0,19,63,34,14,0,21,42,21,0,14,21,0,0,35,0,14,7,7,14,35,7,14,42,0,38,70,0,97,0,14,28,14,0,0,7
1515342301,131,14,42,0,160,28,25,0,59,0,21,37,0,35,7,54,85,13,14,23,21,0,42,0,0,0,42,0,0,35,35,0,895,6,49,0,0,0,70,56,62,18,0,73,872,14,0,49,94,0,0,46,7,7,0,0,14,0,0,7,0,90,71,0,21,15,0,28,42,7,14,15,0,0,0,36,31,69,37,34,21,28,825,16,7,0,21,35,0,0,761,0,0,16,0,0,14,7,0,0,0,27,112,0,1323,0,56,0,91,189,1273,0,7,26,90,41,21,0,27,49,21,0,14,21,0,0,35,0,14,7,7,21,35,14,21,42,0,45,70,0,104,0,14,28,14,0,0,7
